name,value
ARG,0.6
ARM,0.8
BGD,5
BTN,0
BRA,3.5
TCD,30.8
CHL,0.4
COL,6
CRI,0.9
DOM,0.8
ECU,3.2
SLV,3.4
GEO,4.3
IDN,2.2
IRN,0.5
KGZ,0.3
MEX,1.2
MNG,0.2
NPL,0.4
PRY,1.3
PER,2.7
SUR,1.1
SYR,24.8
USA,1.2
URY,0.2
UZB,2.3
VNM,1
ZMB,64.3
